,x,y,z,phi,theta,psi,v_cmd,idx
359,"[-86.69995117 -83.94597033 -81.2536151  -78.62047942 -76.04424755
 -73.52280366 -71.05456204 -68.63900511 -66.27769698 -63.97628114
 -61.74850239 -59.62437443 -57.66682327 -56.00564906 -54.48608368
 -52.96512345]","[-86.11676025 -85.26991978 -84.41300424 -83.55188053 -82.69186431
 -81.83770261 -80.99365506 -80.16365818 -79.35165461 -78.56225379
 -77.80206831 -77.0824244  -76.42485721 -75.87222406 -75.3717843
 -74.87553853]","[58.04863358 58.01648534 57.97750718 57.93991257 57.90280354 57.86627469
 57.83032471 57.79497648 57.76028119 57.72634989 57.69341543 57.66195873
 57.63296883 57.60847823 57.58658533 57.56613221]","[-0.335868   -0.2784533  -0.2224705  -0.16946211 -0.12054136 -0.07652755
 -0.03804441 -0.00558798  0.02043473  0.03970544  0.05205564  0.05761936
  0.0570771   0.05182073  0.044575    0.04033312]","[-0.00811796 -0.01409682 -0.01350218 -0.01363442 -0.01368927 -0.01375064
 -0.01380962 -0.01386645 -0.01392018 -0.01396932 -0.01401096 -0.01403896
 -0.01403604 -0.01394197 -0.0134335  -0.01215493]","[0.29274866 0.30353321 0.31240019 0.31941444 0.32467437 0.32830369
 0.33044834 0.33127598 0.33097582 0.32975662 0.32783905 0.32543617
 0.32270933 0.31965801 0.31670429 0.31410193]","[28.81438681 28.25712914 27.70628627 27.16246131 26.62445122 26.08817394
 25.54419722 24.97264465 24.33273642 23.54138174 22.42944239 20.6524677
 17.50858455 16.00000035 16.00000012]",1
360,"[-86.3052597  -83.55533701 -80.86686397 -78.23744059 -75.66475843
 -73.14671302 -70.68173177 -68.2693102  -65.91102338 -63.6125203
 -61.38753995 -59.26606827 -57.31096051 -55.65186154 -54.13201603
 -52.61077126]","[-85.94302368 -85.09710927 -84.2414434  -83.38183864 -82.52355947
 -81.67130656 -80.8292975  -80.00143031 -79.19161171 -78.40441602
 -77.6464178  -76.92889472 -76.27330631 -75.72237193 -75.22278577
 -74.7274149 ]","[58.05524063 58.02270404 57.98373862 57.94610989 57.90897253 57.87241521
 57.83643721 57.80106139 57.76633897 57.73238109 57.69942079 57.66793938
 57.63892667 57.61441666 57.59247418 57.57197415]","[-0.3321653  -0.27506261 -0.21944278 -0.16682167 -0.11829446 -0.07466742
 -0.03655377 -0.00443972  0.02127791  0.04029173  0.05244419  0.05787811
  0.05727634  0.05202106  0.04480296  0.04053939]","[-0.00842921 -0.01409294 -0.01353627 -0.0136643  -0.01371973 -0.01378114
 -0.01384023 -0.01389715 -0.01395099 -0.01400023 -0.01404196 -0.01407005
 -0.01406717 -0.01397312 -0.01346432 -0.01218281]","[0.29291535 0.30358256 0.31234365 0.31926374 0.32444112 0.32799927
 0.33008382 0.33086198 0.33052232 0.32927258 0.32733196 0.32491148
 0.32216984 0.31910291 0.31613601 0.31352033]","[28.77291461 28.21634541 27.6662876  27.12329757 26.58614658 26.05073697
 25.50763388 24.93697788 24.29803989 23.50784332 22.39748866 20.62301365
 17.48353867 16.00000035 16.00000012]",1
361,"[-85.91051483 -83.16468973 -80.48014052 -77.85447323 -75.2853861
 -72.77078556 -70.30911165 -67.89987263 -65.54465419 -63.24911045
 -61.0269743  -58.90820339 -56.95558128 -55.29859522 -53.77850632
 -52.25701707]","[-85.76911163 -84.92396922 -84.06940164 -83.21116753 -82.35448008
 -81.5039935  -80.66388304 -79.83800794 -79.03023873 -78.24511431
 -77.48917128 -76.77363944 -76.11990507 -75.5705566  -75.07171366
 -74.57709609]","[58.06199265 58.02902676 57.99007815 57.95241489 57.91524922 57.87866343
 57.84265745 57.80725408 57.77250459 57.73852021 57.70553418 57.67402822
 57.64499297 57.62046401 57.59847273 57.57792681]","[-0.32846869 -0.2716762  -0.21641877 -0.16418537 -0.11605289 -0.07281447
 -0.03507287 -0.00330481  0.02210238  0.04085114  0.05279357  0.05808017
  0.05739608  0.0521163   0.04490691  0.04063344]","[-0.0087737  -0.01408575 -0.01357075 -0.01369423 -0.01375027 -0.01381173
 -0.0138709  -0.01392792 -0.01398185 -0.01403118 -0.014073   -0.01410114
 -0.01409823 -0.01400401 -0.01349445 -0.01221008]","[0.29313758 0.30368757 0.31234277 0.31916867 0.32426351 0.32775055
 0.32977516 0.33050414 0.33012549 0.32884606 0.32688371 0.32444769
 0.32169447 0.3186171  0.31564408 0.31302231]","[28.73152408 28.1756235  27.6263339  27.08416451 26.547861   26.01331006
 25.47107414 24.90131063 24.26334101 23.47430255 22.365534   20.59356071
 17.45849549 16.00000035 16.00000012]",1
362,"[-85.51570892 -82.77399057 -80.09337704 -77.47147985 -74.90600238
 -72.39486073 -69.93650648 -67.53045979 -65.17831641 -62.88573527
 -60.66644306 -58.55036933 -56.6002265  -54.94534528 -53.42501252
 -51.9032764 ]","[-85.59503937 -84.7505763  -83.89701037 -83.04005085 -82.1848629
 -81.33605661 -80.49776656 -79.67381435 -78.86803497 -78.0849323
 -77.33100502 -76.61743498 -75.96553515 -75.41776271 -74.91966564
 -74.42581004]","[58.0687561  58.03528947 57.99636491 57.95866631 57.92147231 57.88485794
 57.8488239  57.8133929  57.77861625 57.74460528 57.71159343 57.68006283
 57.65100493 57.62645689 57.60441665 57.58382466]","[-0.32487277 -0.26834377 -0.21340893 -0.16153034 -0.11376626 -0.07089624
 -0.03351205 -0.00208048  0.02302112  0.04150555  0.05323517  0.0583689
  0.05759518  0.05228302  0.04507498  0.04078552]","[-0.00917587 -0.01407256 -0.01360588 -0.01372415 -0.01378085 -0.01384235
 -0.01390163 -0.01395874 -0.01401277 -0.01406218 -0.01410408 -0.01413227
 -0.01412934 -0.01403498 -0.01352471 -0.01223746]","[0.29339053 0.30382607 0.31237648 0.3191079  0.32411879 0.32753246
 0.3294942  0.3301706  0.32974923 0.32843618 0.32644812 0.3239926
 0.32122382 0.31813173 0.31514842 0.31251684]","[28.69032837 28.13508095 27.58654557 27.04518476 26.50971949 25.97602103
 25.43464889 24.8657767  24.22877563 23.44089565 22.33371199 20.56423478
 17.433564   16.00000035 16.00000012]",1
363,"[-84.72769928 -81.99411208 -79.32128889 -76.7068567  -74.14853151
 -71.64425046 -69.19248936 -66.79279271 -64.44677629 -62.16010825
 -59.94650207 -57.83583008 -55.89066094 -54.24000987 -52.71924069
 -51.19706967]","[-85.24992371 -84.40689886 -83.55539759 -82.701027   -81.8488538
 -81.00339855 -80.16871409 -79.34854695 -78.54666188 -77.76749408
 -77.01746854 -76.30767463 -75.65928489 -75.11450729 -74.61774865
 -74.12523896]","[58.0824852  58.04794558 58.0090749  57.97130466 57.93405354 57.89738157
 57.86129095 57.82580425 57.79097289 57.75690839 57.72384459 57.69226446
 57.66316118 57.63857517 57.61643766 57.5957545 ]","[-3.17739065e-01 -2.61814914e-01 -2.07584059e-01 -1.56457790e-01
 -1.09459512e-01 -6.73435547e-02 -3.06816034e-02  7.75954122e-05
  2.45744182e-02  4.25396570e-02  5.38529671e-02  5.86868273e-02
  5.77338428e-02  5.23514493e-02  4.51435345e-02  4.08475539e-02]","[-0.01003922 -0.01404103 -0.01367669 -0.0137841  -0.01384216 -0.01390375
 -0.01396322 -0.01402052 -0.01407473 -0.01412432 -0.01416637 -0.01419464
 -0.01419157 -0.01409672 -0.0135846  -0.01229164]","[0.29386166 0.30407156 0.31241796 0.31896778 0.32381948 0.3270961
 0.32894246 0.3295245  0.3290287  0.32765951 0.32563121 0.32314815
 0.32036062 0.31725389 0.31426637 0.31163078]","[28.60850516 28.05458176 27.5075606  26.96781282 26.43401135 25.90199852
 25.36232992 24.79521351 24.16012113 23.37452834 22.27048158 20.50595511
 17.38401131 16.00000034 16.00000012]",1
364,"[-84.3335495  -81.60412792 -78.93529722 -76.32469048 -73.77002602
 -71.26924863 -68.82084411 -66.4243678  -64.08144498 -61.7977485
 -59.58698593 -57.47900215 -55.53629583 -53.88772808 -52.36667595
 -50.84421155]","[-85.07709503 -84.23465415 -83.38405857 -82.53087535 -81.68012906
 -80.83630033 -80.00340407 -79.18515073 -78.38527013 -77.60816226
 -76.86021326 -76.15246256 -75.50600529 -74.962909   -74.46701975
 -73.97541979]","[58.08932495 58.05407417 58.01524852 57.97744077 57.94016131 57.90346058
 57.86734168 57.83182711 57.79696834 57.76287696 57.72978699 57.69818177
 57.66905521 57.64444915 57.62226028 57.60152819]","[-0.31423757 -0.25848226 -0.20449525 -0.1536608  -0.10698276 -0.06520053
 -0.02887328  0.001562    0.02575782  0.04345785  0.054555    0.05923328
  0.05819103  0.05277999  0.04557382  0.04123689]","[-0.01061239 -0.01401088 -0.01371392 -0.01381433 -0.01387322 -0.01393484
 -0.01399443 -0.01405182 -0.01410614 -0.01415584 -0.01419799 -0.01422637
 -0.01422343 -0.01412879 -0.01361674 -0.01232072]","[0.29415309 0.30425018 0.31249002 0.31894084 0.32370194 0.32689691
 0.32867094 0.32919014 0.32864086 0.327227   0.32516173 0.32264754
 0.3198319  0.3166956  0.31368169 0.31102094]","[28.56706036 28.01378702 27.4675177  26.9285789  26.39562024 25.86446871
 25.3256763  24.75946622 24.12535896 23.34094206 22.23849852 20.47648884
 17.3589664  16.00000034 16.00000012]",1
365,"[-83.93929291 -81.21411281 -78.54934918 -75.94264001 -73.39170485
 -70.89449534 -68.44950683 -66.05630538 -63.71652586 -61.43584609
 -59.22796806 -57.12270954 -55.18249918 -53.53604295 -52.01473626
 -50.49200895]","[-84.90411377 -84.06198582 -83.21204598 -82.35982097 -81.51029229
 -80.66789934 -79.83661752 -79.02011949 -78.22209839 -77.44691721
 -76.7009217  -75.99510034 -75.35047129 -74.80896567 -74.31386015
 -73.8230772 ]","[58.09598923 58.06003238 58.021252   57.98340826 57.94610176 57.90937358
 57.87322772 57.83768661 57.80280174 57.76868479 57.73556995 57.70394094
 57.67479242 57.65016767 57.62792909 57.60714996]","[-0.31059829 -0.25499756 -0.2012486  -0.15070687 -0.10435523 -0.06291707
 -0.02693831  0.00315626  0.02703132  0.04444325  0.05529778  0.05979025
  0.05862546  0.05315252  0.04592405  0.0415538 ]","[-0.01118305 -0.0139811  -0.01375061 -0.01384417 -0.01390388 -0.01396553
 -0.01402521 -0.01408269 -0.0141371  -0.01418689 -0.01422913 -0.01425758
 -0.01425467 -0.01416004 -0.01364763 -0.01234868]","[0.29454656 0.30452534 0.31265273 0.31899857 0.32366317 0.32677083
 0.32846726 0.32891885 0.32831197 0.32685012 0.32474551 0.32219896
 0.31935545 0.31619175 0.31315563 0.31047441]","[28.52569456 27.97304167 27.4275009  26.88935558 26.35723072 25.82693668
 25.28902057 24.72371966 24.09060208 23.30736641 22.20653125 20.44704211
 17.33394166 16.00000034 16.00000012]",1
366,"[-83.54489899 -80.82390108 -78.16314277 -75.56027006 -73.01300604
 -70.51931104 -68.07769137 -65.68772469 -63.3510559  -61.07336791
 -58.86835687 -56.7658129  -54.82809389 -53.18374963 -51.66219187
 -50.13920819]","[-84.73100281 -83.88938372 -83.0402853  -82.18919002 -81.34103369
 -80.50021285 -79.67066259 -78.85601755 -78.05993443 -77.2867399
 -76.54274025 -75.83887424 -75.19608456 -74.65616808 -74.16183696
 -73.67185218]","[58.10263824 58.06598795 58.02725083 57.98937138 57.9520378  57.91528216
 57.87910932 57.84354164 57.80863064 57.77448808 57.74134836 57.70969555
 57.68052506 57.65588162 57.63359319 57.6127669 ]","[-0.30693951 -0.25155761 -0.19809681 -0.14788558 -0.10188742 -0.06081107
 -0.02519028  0.00456136  0.02811974  0.04525289  0.05587812  0.06020062
  0.05892996  0.05341082  0.04617323  0.04177926]","[-0.01174461 -0.01395292 -0.01378714 -0.01387411 -0.01393458 -0.01399627
 -0.01405605 -0.01411363 -0.01416813 -0.01421801 -0.01426035 -0.01428887
 -0.014286   -0.01419138 -0.01367861 -0.01237671]","[0.29486911 0.30473    0.31274739 0.31899227 0.32356558 0.32659204
 0.3282176  0.32860869 0.32795149 0.32644887 0.32431194 0.32173979
 0.318875   0.31569074 0.31263904 0.30994325]","[28.4843208  27.93232157 27.38753235 26.85019534 26.31891141 25.78947533
 25.25243069 24.68803036 24.05589159 23.27382539 22.17458711 20.41760827
 17.30892168 16.00000034 16.00000012]",1
367,"[-82.75572205 -80.04292023 -77.3900063  -74.79465036 -72.25458752
 -69.76779906 -67.33281542 -64.94923855 -62.61873343 -60.34699219
 -58.14769777 -56.05058287 -54.11786115 -52.47776576 -50.95576228
 -49.43233332]","[-84.38438416 -83.54415986 -82.69707813 -81.84852651 -81.00334543
 -80.16584399 -79.33987659 -78.52900312 -77.73680978 -76.96755392
 -76.22746716 -75.52739455 -74.88813658 -74.35123804 -73.85828536
 -73.36969068]","[58.11587906 58.07780602 58.03915827 58.00120838 57.96382153 57.92701191
 57.89078605 57.85516615 57.82020385 57.78601109 57.75282263 57.72112333
 57.6919102  57.66723098 57.6448453  57.62392767]","[-0.29979425 -0.24499273 -0.19221395 -0.14273793 -0.09749404 -0.05716561
 -0.02226559  0.00681135  0.0297598   0.04636668  0.05656744  0.06058159
  0.05912365  0.05352767  0.04628546  0.04188081]","[-0.01289984 -0.0138944  -0.01385984 -0.01393359 -0.01399559 -0.01405735
 -0.01411733 -0.01417509 -0.01422977 -0.01427984 -0.01432233 -0.01435095
 -0.01434798 -0.01425298 -0.01373861 -0.012431  ]","[0.29536821 0.30500201 0.31281247 0.31887168 0.32328101 0.32616524
 0.32767017 0.32796179 0.32722537 0.32566222 0.32348109 0.32087785
 0.317991   0.31478874 0.31173    0.30902766]","[28.40208422 27.85145136 27.3081962  26.772486   26.2428762  25.71513408
 25.17980033 24.61716291 23.98694061 23.20717126 22.11108358 20.35907727
 17.25915577 16.00000033 16.00000012]",1
368,"[-82.3609848  -79.6522441  -77.00321733 -74.41158663 -71.87509265
 -69.3917265  -66.96002998 -64.57961654 -62.25216069 -59.98335873
 -57.78688675 -55.69244878 -53.76218703 -52.12417859 -50.60190299
 -49.07819581]","[-84.21091461 -83.37158291 -82.5256824  -81.67855934 -80.83501164
 -79.99930896 -79.17526891 -78.36641685 -77.57630601 -76.8091608
 -76.07117656 -75.37315125 -74.73581151 -74.20056691 -73.70845766
 -73.2207335 ]","[58.12243652 58.08368249 58.04507355 58.00708745 57.96967235 57.93283416
 57.89658019 57.86093258 57.82594299 57.79172344 57.75850889 57.72678451
 57.69754799 57.67284839 57.65040988 57.6294416 ]","[-0.29643845 -0.24187717 -0.18939147 -0.14023892 -0.09533267 -0.05534361
 -0.02077406  0.00799147  0.0306581   0.04702391  0.05703556  0.06092181
  0.05940049  0.05379794  0.04657479  0.0421426 ]","[-0.01345396 -0.01386931 -0.01389653 -0.01396418 -0.01402689 -0.01408871
 -0.0141488  -0.01420668 -0.01426148 -0.01431168 -0.0143543  -0.01438307
 -0.01438032 -0.01428574 -0.01377188 -0.0124611 ]","[0.29554526 0.30507261 0.31278472 0.31875443 0.32308356 0.32589709
 0.32734091 0.32758093 0.32680204 0.32520482 0.32299672 0.32037176
 0.31746582 0.3142433  0.31116736 0.3084481 ]","[28.36074298 27.81082537 27.26835648 26.73347306 26.20471006 25.67782245
 25.14335039 24.58159989 23.95234087 23.17372501 22.07921862 20.32970749
 17.23418425 16.00000033 16.00000012]",1
369,"[-81.96614838 -79.26138503 -76.61616353 -74.0281823  -71.49519149
 -69.01519491 -66.58674771 -64.20947586 -61.88506349 -59.6192105
 -57.42558485 -55.33385993 -53.40610346 -51.77023109 -50.24773548
 -48.72381197]","[-84.03733826 -83.19915884 -82.35467496 -81.50918374 -80.66743563
 -79.83365789 -79.01162997 -78.20484267 -77.41681724 -76.65174704
 -75.91579389 -75.21971281 -74.58416329 -74.05043322 -73.55900733
 -73.07196156]","[58.12887192 58.08949873 58.05092331 58.01290337 57.97546155 57.9385964
 57.90231592 57.86664219 57.83162692 57.79738224 57.76414325 57.73239552
 57.70313747 57.67841957 57.65593106 57.63491549]","[-0.29313618 -0.23893967 -0.18684344 -0.13808574 -0.09356656 -0.05394707
 -0.01972163  0.00873264  0.03112823  0.0472707   0.0571136   0.0608904
  0.05931852  0.0537155   0.04651826  0.04209146]","[-0.01395996 -0.01384927 -0.01393206 -0.01399427 -0.01405762 -0.01411949
 -0.0141797  -0.01423768 -0.0142926  -0.0143429  -0.01438563 -0.01441449
 -0.01441177 -0.0143172  -0.01380294 -0.0124892 ]","[0.29562458 0.3050497  0.31267168 0.31856321 0.32282574 0.32558385
 0.32698296 0.32718839 0.32638425 0.32477007 0.32255194 0.31992217
 0.3170148  0.3137923  0.31072061 0.30800466]","[28.31942762 27.77026422 27.22860575 26.69456008 26.16664286 25.64059908
 25.10697111 24.54608604 23.91776775 23.14028429 22.04734159 20.30031319
 17.20918284 16.00000033 16.00000012]",1
370,"[-81.57123566 -78.87029039 -76.22871822 -73.64423699 -71.11461088
 -68.63785956 -66.21255362 -63.83833266 -61.51689069 -59.25393068
 -57.06311139 -54.97407413 -53.04881039 -51.41507226 -49.89237352
 -48.36825701]","[-83.86371613 -83.02711322 -82.18443693 -81.3409281  -80.50128594
 -79.66969349 -78.84989171 -78.04533769 -77.2595226  -76.49661134
 -75.76273554 -75.06861118 -74.43483557 -73.90258247 -73.41178862
 -72.92534922]","[58.13526154 58.09541579 58.05685742 58.01880462 57.98133526 57.94444251
 57.90813485 57.87243435 57.83739277 57.80312233 57.76985832 57.73808671
 57.70880666 57.68407012 57.66153141 57.64046842]","[-0.28994804 -0.23623507 -0.18461738 -0.13631782 -0.0922266  -0.05299818
 -0.01912155  0.00903106  0.03117702  0.04712657  0.05683704  0.06054312
  0.05895809  0.05338727  0.04624198  0.04184147]","[-0.01434818 -0.01384227 -0.01396642 -0.01402465 -0.01408848 -0.01415043
 -0.01421075 -0.01426885 -0.01432389 -0.01437431 -0.01441715 -0.0144461
 -0.01444342 -0.01434882 -0.01383408 -0.01251739]","[0.2955412  0.30487039 0.3124123  0.31823852 0.32244938 0.32516838
 0.3265399  0.32672814 0.32591598 0.32430151 0.32208919 0.31946962
 0.31657524 0.31336779 0.31031466 0.30761485]","[28.27835971 27.73000292 27.1891886  26.65599747 26.12892773 25.60371712
 25.07091343 24.510868   23.88346143 23.10708017 22.01567064 20.27109312
 17.18431861 16.00000033 16.00000012]",1
371,"[-80.7824707  -78.08918556 -75.45493529 -72.87747732 -70.35460571
 -67.8843732  -65.46538228 -63.09730048 -60.78184183 -58.5247154
 -56.33956101 -54.25595474 -52.33573356 -50.70631793 -49.1832518
 -47.65879405]","[-83.51937866 -82.68592699 -81.84686752 -81.00732316 -80.17188669
 -79.34464955 -78.52927339 -77.72914625 -76.94769802 -76.18903633
 -75.45923261 -74.768926   -74.13859284 -73.60918688 -73.11953881
 -72.63417378]","[58.1480484  58.10736105 58.06882646 58.03071076 57.99318772 57.95624131
 57.91988084 57.88412836 57.84903573 57.81471536 57.78140295 57.74958524
 57.72026304 57.69549131 57.67285459 57.65169975]","[-0.28346274 -0.23078409 -0.18018056 -0.13284466 -0.08964756 -0.05123083
 -0.0180735   0.00946098  0.03109829  0.04665618  0.05609729  0.05965627
  0.05803651  0.05251942  0.04547237  0.0411451 ]","[-0.01504389 -0.01383761 -0.01403389 -0.01408532 -0.01415    -0.0142121
 -0.01427264 -0.01433096 -0.01438622 -0.01443686 -0.01447988 -0.01450893
 -0.01450614 -0.01441104 -0.01389442 -0.01257197]","[0.2953781  0.30451241 0.31189336 0.31759003 0.32170026 0.32434515
 0.3256667  0.32582669 0.3250053  0.32339763 0.32120484 0.31861421
 0.31575549 0.31259005 0.30958719 0.30693237]","[28.1959906  27.64925948 27.110141   26.57866341 26.05328999 25.5297445
 24.99858647 24.44021676 23.81463085 23.04045361 21.95211461 20.21245122
 17.13441584 16.00000033 16.00000012]",1
372,"[-80.38788605 -77.698573   -75.06812669 -72.49431678 -69.97494643
 -67.50808028 -65.09233349 -62.72738557 -60.4149599  -58.16076891
 -55.97844427 -53.89753161 -51.97979404 -50.35249222 -48.82917457
 -47.30446446]","[-83.34709167 -82.5148374  -81.6772332  -80.83935659 -80.00575665
 -79.18048503 -78.36716711 -77.56915763 -76.78985529 -76.03333709
 -75.30564091 -74.61736219 -73.98890782 -73.46110367 -72.97224103
 -72.4876715 ]","[58.15441132 58.11335382 58.07482432 58.03667691 57.99912607 57.96215195
 57.92576421 57.88998485 57.85486579 57.82051952 57.78718194 57.75534014
 57.72599566 57.70120489 57.6785166  57.65731283]","[-0.2802513  -0.22789349 -0.17764117 -0.13066813 -0.08783226 -0.04976494
 -0.0169365   0.01029794  0.03167261  0.0470142   0.05629394  0.05975285
  0.05809488  0.05259168  0.04557993  0.04124242]","[-0.01535141 -0.01384061 -0.01406773 -0.01411635 -0.01418141 -0.01424359
 -0.01430424 -0.01436268 -0.01441805 -0.0144688  -0.01451194 -0.0145411
 -0.01453838 -0.01444338 -0.01392655 -0.01260105]","[0.29543993 0.30447418 0.31176547 0.31738308 0.32142476 0.32401146
 0.32528491 0.32540643 0.32455556 0.32292636 0.32071858 0.31811763
 0.31525097 0.31207714 0.30906873 0.30640763]","[28.154562   27.60859906 27.07029668 26.53966047 26.01513592 25.49243754
 24.96212739 24.40462741 23.7799869  23.00694703 21.92017718 20.18300318
 17.10937023 16.00000032 16.00000012]",1
373,"[-79.99317932 -77.30781208 -74.68114307 -72.11095546 -69.59506372
 -67.13154603 -64.7190315  -62.35721249 -60.04782206 -57.79657608
 -55.61709774 -53.53890149 -51.62367519 -49.99851693 -48.47498381
 -46.95006376]","[-83.17472839 -82.3437204  -81.50762052 -80.67145477 -79.83972413
 -79.01643728 -78.20518105 -77.40927544 -76.63208727 -75.87766274
 -75.15200677 -74.46567258 -73.8390011  -73.31269853 -72.8245101
 -72.3406037 ]","[58.16065598 58.11929104 58.08076105 58.0425836  58.00500593 57.96800513
 57.93159112 57.8957859  57.86064143 57.82627031 57.79290861 57.76104381
 57.73167824 57.70686978 57.68413174 57.66288121]","[-0.27694775 -0.22498729 -0.1751498  -0.12859109 -0.08615665 -0.04846864
 -0.01598976  0.01093186  0.03203739  0.04716035  0.05627806  0.05963533
  0.05793469  0.05243826  0.04545876  0.04113278]","[-0.01560915 -0.01384867 -0.01410068 -0.01414709 -0.01421245 -0.01427472
 -0.01433548 -0.01439402 -0.0144495  -0.01450036 -0.01454358 -0.0145728
 -0.01457005 -0.01447488 -0.01395726 -0.01262884]","[0.29548372 0.30441578 0.31161785 0.31715895 0.32113639 0.32367062
 0.32490276 0.32499346 0.32412133 0.32247926 0.32026554 0.31766383
 0.31479979 0.31163035 0.30863036 0.30597634]","[28.11323138 27.56804503 27.03056441 26.50077122 25.97709292 25.45523521
 24.92576361 24.36912222 23.74541531 22.97350129 21.88828986 20.15359522
 17.08435453 16.00000032 16.00000012]",1
374,"[-79.59835052 -76.91688124 -74.29394007 -71.72732495 -69.21486352
 -66.75464902 -64.34532568 -61.9865995  -59.68021378 -57.431888
 -55.25523682 -53.1797433  -51.26701973 -49.64400113 -48.12025332
 -46.59512652]","[-83.00226593 -82.17264253 -81.33818319 -80.50385818 -79.67411751
 -78.85292476 -78.04382683 -77.25010809 -76.47510307 -75.72282722
 -74.99925277 -74.31489129 -73.6900185  -73.16522207 -72.67770648
 -72.19445414]","[58.16693878 58.12531427 58.08677829 58.04857102 58.01096611 57.9739383
 57.93749768 57.90166628 57.86649609 57.8320998  57.79871369 57.76682563
 57.73743875 57.71261245 57.68982451 57.66852715]","[-0.27357393 -0.22206566 -0.17268814 -0.12657996 -0.08457492 -0.04728665
 -0.01517087  0.01143071  0.03226552  0.04717316  0.05613617  0.05940198
  0.05767036  0.05219241  0.04525552  0.04094888]","[-0.0158284  -0.01386111 -0.01413338 -0.01417805 -0.01424367 -0.01430603
 -0.01436689 -0.01442554 -0.01448113 -0.01453209 -0.01457541 -0.01460468
 -0.01460189 -0.01450651 -0.01398802 -0.01265667]","[0.29547639 0.30430456 0.31141752 0.31688371 0.32079975 0.3232853
 0.32448071 0.32454567 0.3236577  0.32200833 0.3197942  0.31719719
 0.31434116 0.31118177 0.30819556 0.30555342]","[28.07194227 27.52755043 26.99090535 26.46196402 25.93913581 25.41811819
 24.88948089 24.33369116 23.71090922 22.94011152 21.85644874 20.12422371
 17.0593653  16.00000032 16.00000012]",1
375,"[-78.80832672 -76.13441203 -73.51867427 -70.95896054 -68.45313376
 -65.99932492 -63.59621388 -61.24353732 -58.94306032 -56.70050924
 -54.52947987 -52.45938942 -50.55169448 -48.93299652 -47.40887634
 -45.8834107 ]","[-82.65718842 -81.83110345 -81.00065117 -80.17067281 -79.34550216
 -78.52900346 -77.72463838 -76.93561804 -76.16521293 -75.41737977
 -74.69803018 -74.0175992  -73.39624221 -72.87432821 -72.38798255
 -71.90580486]","[58.17961502 58.13705369 58.09854881 58.0602798  58.0226225  57.9855423
 57.94905013 57.91316798 57.87794795 57.84350295 57.81006964 57.7781367
 57.74870886 57.72384855 57.70096248 57.67957335]","[-0.26674037 -0.21643876 -0.16822194 -0.1231997  -0.08218806 -0.04578875
 -0.01444855  0.01149848  0.03180662  0.0463211   0.05502724  0.0581692
  0.05643282  0.05104099  0.0442328   0.04002349]","[-0.01660808 -0.01385148 -0.01420146 -0.01423913 -0.01430557 -0.01436809
 -0.01442916 -0.01448804 -0.01454386 -0.01459504 -0.01463855 -0.0146679
 -0.01466495 -0.01456895 -0.0140483  -0.01271121]","[0.295173   0.30379547 0.31074224 0.3160786  0.319898   0.3223171
 0.32347322 0.32352298 0.32264051 0.32101371 0.31883539 0.31628373
 0.31347993 0.31038032 0.30746085 0.30487849]","[27.98946534 27.44676389 26.91185714 26.38465708 25.86353881 25.34418748
 24.81718699 24.26305704 23.64207577 22.87346114 21.79284996 20.0655254
 17.00940234 16.00000032 16.00000012]",1
376,"[-78.41313171 -75.74311558 -73.13109866 -70.57494806 -68.07253911
 -65.62201766 -63.2220786  -60.87247233 -58.57497433 -56.33531489
 -54.16708165 -52.09966107 -50.19443527 -48.57784501 -47.05346909
 -45.52775127]","[-82.48461151 -81.65997502 -80.83122877 -80.00316232 -79.18005982
 -78.36574125 -77.56362865 -76.77689747 -76.00878556 -75.26321833
 -74.54607376 -73.86774348 -73.24831395 -72.72802692 -72.24248588
 -71.76110896]","[58.18599701 58.14290422 58.10441911 58.06611755 58.02843288 57.99132528
 57.95480611 57.91889736 57.88365116 57.84918051 57.81572226 57.78376545
 57.7543155  57.72943624 57.70649778 57.68505886]","[-0.26333148 -0.2134563  -0.16567959 -0.12109368 -0.08050226 -0.04449774
 -0.01351894  0.01210767  0.03214401  0.04644315  0.05499751  0.05805571
  0.0563016   0.05094553  0.04419267  0.03998718]","[-0.01704976 -0.01384278 -0.01423661 -0.01427038 -0.01433728 -0.01439987
 -0.01446107 -0.01452006 -0.01457601 -0.01462732 -0.01467095 -0.01470043
 -0.01469758 -0.01460174 -0.014081   -0.0127408 ]","[0.29514389 0.30366035 0.31051496 0.31577268 0.31952651 0.32189252
 0.32300738 0.32302685 0.32212401 0.32048534 0.3183019  0.31574976
 0.31294787 0.30985023 0.3069349  0.30435488]","[27.94802851 27.40613768 26.87207458 26.34573372 25.82547275 25.30696861
 24.78080931 24.22753745 23.60748697 22.83999393 21.7609366  20.03608802
 16.98435737 16.00000032 16.00000012]",1
