,x,y,z,phi,theta,psi,u_phi,u_theta,u_psi,v_cmd
19,-273.0983581542969,-138.79222106933594,50.18608474731445,0.605813603053657,0.12203051255197706,1.1650728966289423,0.13593362271785736,-0.34566864371299755,-0.7814720869064331,22.58150927790339
20,-272.82275390625,-137.9090576171875,50.211395263671875,0.6082241894764662,0.12665637064229318,1.133172837867623,0.16775403916835785,-0.36155858635902416,-0.698367714881897,22.481330424312418
21,-272.6772766113281,-137.4698028564453,50.224666595458984,0.609950399917871,0.12822064983066914,1.118205891212785,0.1798691600561142,-0.36346367001533514,-0.6586645245552063,22.43435965866139
22,-272.5273742675781,-137.03289794921875,50.238487243652344,0.6117651021453503,0.12931400620285188,1.1038047802909574,0.1825007200241089,-0.36713322997093206,-0.6210305094718933,22.38871036991301
23,-272.3729553222656,-136.59844970703125,50.252845764160156,0.6135268615532602,0.12993579319664164,1.0899518352165378,0.1768302172422409,-0.371525913476944,-0.5845465064048767,22.34675308719416
24,-272.0503845214844,-135.7372589111328,50.28396987915039,0.6165313738686813,0.1301725897273263,1.0634005051126056,0.15375758707523346,-0.37808111310005194,-0.5345551371574402,22.268013080199005
25,-271.88214111328125,-135.31065368652344,50.30026626586914,0.6175874775873604,0.12986210064093193,1.050582612210947,0.1355445832014084,-0.38191613554954534,-0.5133969187736511,22.232148505682854
26,-271.70928955078125,-134.88677978515625,50.31705093383789,0.618294043223439,0.129181347626566,1.037981713198343,0.11703283339738846,-0.3908816277980805,-0.49221432209014887,22.197362479927435
27,-271.53179931640625,-134.46571350097656,50.33433532714844,0.6185423509151629,0.12819521970267672,1.0255193531701523,0.09272527694702148,-0.3996886610984803,-0.47796753048896784,22.164865936401508
28,-271.1629333496094,-133.63221740722656,50.370445251464844,0.6178666773573896,0.1252624150754189,1.0009207720873265,0.0505593866109848,-0.4167135357856751,-0.4506084322929382,22.10337596398261
29,-270.7760314941406,-132.81788635253906,50.4096794128418,0.6154580207747894,0.12143909807734986,0.9767715452493041,0.001976139610633254,-0.42802482843399053,-0.4341005086898803,22.04283747279989
30,-270.5758056640625,-132.4149932861328,50.43022155761719,0.6137064296292369,0.119252372040164,0.9646556854295252,-0.016033997759222984,-0.4353278577327729,-0.4300026595592498,22.013396996768417
31,-270.16241455078125,-131.6179962158203,50.473350524902344,0.6095621668111693,0.11447514253624483,0.9402108948150659,-0.038928668946027756,-0.44611367583274847,-0.4303074181079864,21.95453244176335
32,-269.7312927246094,-130.8331298828125,50.51948165893555,0.6048941446450541,0.10949014014707373,0.9155214091114022,-0.05316490679979324,-0.4507208466529847,-0.43268331885337824,21.895814333517492
33,-269.0527648925781,-129.6793212890625,50.594974517822266,0.5975428843103844,0.10248370397500864,0.8785155003349128,-0.05704668536782265,-0.438533365726471,-0.4438429772853851,21.80477118128639
34,-268.58026123046875,-128.93284606933594,50.650596618652344,0.5934911360715786,0.09808353987768825,0.8540769507808107,-0.03812159597873688,-0.42703971266746527,-0.44024127721786493,21.740974413342695
35,-268.3379821777344,-128.5643310546875,50.679534912109375,0.5917467883385166,0.0960962888917127,0.8421097229141978,-0.031097665429115295,-0.4132923781871796,-0.4370369613170623,21.708805008929144
36,-267.841796875,-127.8369369506836,50.73991775512695,0.5889099269706989,0.0925127887126781,0.8183991033775919,-0.011256114579737186,-0.3971806466579438,-0.4387065470218658,21.647497949746608
37,-267.33056640625,-127.1225814819336,50.80280685424805,0.5867414301107917,0.08964864097082277,0.7952283772632374,-0.001081409864127636,-0.3721169233322144,-0.4363109171390533,21.583088966315845
38,-267.0694580078125,-126.7703628540039,50.835079193115234,0.5859026092571031,0.08837643991163535,0.7839199432973533,0.006469395011663437,-0.36224341392517095,-0.4324632585048675,21.552804440777983
39,-266.5367126464844,-126.07584381103516,50.90074157714844,0.5849967891363262,0.08621266241553936,0.7619096693607075,0.028056016191840172,-0.3409478664398194,-0.4228277206420898,21.494601678630126
40,-266.26544189453125,-125.73658752441406,50.934444427490234,0.5848157458289888,0.08548651309145083,0.7511826162934818,0.036410294473171234,-0.3243329823017121,-0.4230393171310424,21.463504877691236
